Distance,Action,Reward
5.650148,Follow,0.1
5.672421,Patrol,0
5.672421,Follow,0.1
5.697048,Patrol,0
5.697048,Follow,0.1
5.725739,Patrol,0
5.725739,Follow,0.1
5.749256,Patrol,0
5.749256,Follow,0.1
5.771488,Patrol,0
5.771488,Follow,0.1
5.796394,Patrol,0
5.796394,Follow,0.1
5.82065,Patrol,0
5.82065,Follow,0.1
5.846383,Patrol,0
5.846383,Follow,0.1
5.872983,Patrol,0
5.872983,Follow,0.1
5.950012,Patrol,0
5.950012,Follow,0.1
5.980438,Patrol,0
5.980438,Follow,0.1
6.01052,Patrol,0
6.01052,Follow,0.1
6.040966,Patrol,0
6.040966,Follow,0.1
6.072911,Patrol,0
6.072911,Follow,0.1
6.105573,Patrol,0
6.105573,Follow,0.1
6.141173,Patrol,0
6.141173,Follow,0.1
6.178079,Patrol,0
6.178079,Follow,0.1
6.220002,Patrol,0
6.220002,Follow,0.1
6.263007,Patrol,0
6.263007,Follow,0.1
6.302856,Patrol,0
6.302856,Follow,0.1
6.344173,Patrol,0
6.344173,Follow,0.1
6.388229,Patrol,0
6.388229,Follow,0.1
6.43252,Patrol,0
6.43252,Follow,0.1
6.478898,Patrol,0
